PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
412,412,0,88,88,141922426.1,166469966.5,14654,243686759,84992926.6,9704.4,9312.0,7072,22912,2166.5,141910650.8,166458878.5,2078,243676135,84993417.9,2070.9,2048.0,1984,2304,59.6,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
412,412,0,88,88,141766647.9,166289662.5,15087,243521127,84955776.3,9634.5,9344.0,6368,21600,2138.3,141754080.6,166277262.5,958,243510375,84956472.3,2932.7,2912.0,2688,3424,158.7,cudaLaunchKernel,"void vllm::cp_gather_indexer_k_quant_cache_kernel<(int)2>(const char *, char *, char *, const int *, const int *, int, long, long, long, long, long, int, int, int)"
412,412,0,88,88,141703326.8,166217982.5,14256,243454343,84940719.3,8643.6,8304.0,6080,23264,2328.4,141690921.7,166205646.5,1278,243442663,84941261.8,3761.5,3712.0,3520,4320,151.0,cuLaunchKernelEx,"void deep_gemm::sm100_mqa_logits<(unsigned int)32, (unsigned int)128, (bool)0, (bool)0, (unsigned int)4, (unsigned int)256, (unsigned int)3, (unsigned int)5, (unsigned int)152, (unsigned int)128, (unsigned int)256, cutlass::float_e4m3_t, float, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, const unsigned int *, const unsigned int *, T13 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
412,412,0,88,88,141679415.2,166189822.5,11823,243428167,84935407.5,8596.4,8448.0,6112,22752,2262.7,141668932.6,166175198.5,1886,243419207,84936133.1,1886.2,1888.0,1728,2336,76.6,cudaLaunchKernel,"void vllm::topKPerRowPrefill<(int)512, (bool)0>(const float *, const int *, const int *, int *, int, int, int, int)"
412,412,0,799,799,133547027.3,146932813.0,15728,255296840,85110011.8,12064.2,12128.0,6976,27680,1988.2,133532514.7,146919373.0,911,255282216,85110869.6,2448.4,2528.0,2112,3072,211.4,cudaLaunchKernel,"void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)2, (bool)1>(T1 *, const T1 *, long, long, long, long, long, const T1 *, long, float, int, int)"
412,412,0,8,8,117075239.4,114187757.0,12930,244238056,125230035.2,11864.0,11824.0,8768,15104,2055.0,117062007.4,114172662.0,1182,244226024,125230739.3,1368.0,1408.0,1248,1536,107.8,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
412,412,0,8,8,116829199.4,113939206.0,12463,243746344,124970203.0,9368.0,8896.0,8160,11424,1247.4,116818863.4,113928588.5,1758,243737256,124971242.2,968.0,912.0,896,1088,91.7,cudaLaunchKernel,"void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>>(T1, int)"
412,412,0,8,8,116821711.4,113931780.0,9282,243735208,124965886.5,4676.0,4464.0,4096,5696,562.2,116815351.4,113925132.5,3216,243729032,124966234.4,1684.0,1664.0,1536,1888,105.4,cudaLaunchKernel,"void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<int, int, int, unsigned int, std::plus<int>>::Policy1000, const int *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, std::plus<int>, at_cuda_detail::cub::NullType, unsigned int, int, (bool)0, at_cuda_detail::cub::NullType>(T2, T3, T4, int, T5, T6, T7)"
412,412,0,8,8,116803891.4,113915510.0,11279,243696168,124943214.5,9328.0,8864.0,7488,11968,1821.5,116793383.4,113903916.5,862,243687080,124944329.5,1180.0,1184.0,1152,1216,20.5,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<int>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
412,412,0,8,8,116754335.5,113868260.0,14096,243602152,124888513.4,11660.0,11568.0,10368,12832,750.3,116740999.5,113855110.5,1022,243589224,124888466.4,1676.0,1664.0,1472,1856,119.7,cuLaunchKernelEx,kernel
